erm2-nwe9	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
v9md-y9hm	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
zv3h-4wak	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
rsfn-6ncc	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
h48j-6b9g	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
2y6k-xemp	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
kqz8-f9re	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
btg5-rbma	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
n3qa-cbhw	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
9ear-7rrm	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
evab-kfr4	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
vtni-mpgy	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
3q43-55fe	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
3rfa-3xsf	All 311 Requests from year 2009. This is historical data and will not be updated.
pgc5-qs2b	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
i3j2-v52s	All 311 Service Requests from 2010 to mid-February 2012.
uzcy-9puk	311 Service Requests for 2008. This is historical data and will not be updated.
ur9i-z2td	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
sqcr-6mww	311 Service Requests for 2004. This is historical data and will not be updated.
hy4q-igkk	311 Service Requests for 2006. This is historical data and will not be updated.
r9ej-auf8	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
vna7-je5q	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
w9k6-n9e8	Test data from all 311 Service Requests for 2010 in Manhattan to October 2010.
sxmw-f24h	311 Service Requests for 2005. This is historical data and will not be updated.
aiww-p3af	311 Service Requests for 2007. This is historical data and will not be updated.
maj4-ux6k	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
5w3m-896x	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
kcw6-iaxw	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
xry6-qq3a	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
j9s6-kftq	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
akdt-ikxf	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
y5dx-zyms	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
qxpf-x8zw	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
h448-645k	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
u8xb-ka72	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
ny4u-ky6y	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
saxc-u5zn	All 311 Service Requests from 2010 to early March 2012. This information is automatically updated daily.
654p-getv	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
4xii-84j2	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
nrkc-cdgn	All 311 Service Requests from 2010 to early March 2012. This information is automatically updated daily.
3kr9-ifaj	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
hnb5-znci	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
wdwj-7we3	All 311 Service Requests from 2010 to mid-October 2011. (Please note this dataset will soon be kept up-to-date on a regular basis)
y4hr-mgxd	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
feby-cxzw	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
6x9t-2tbx	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
qkjb-2n58	Test data from all 311 Service Requests for 2005 in Manhattan.
v8zv-ywyu	All 311 Service Requests from 2010 to early March 2012. This information is automatically updated daily.
8das-cmyz	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
64mf-8fyz	All 311 Service Requests from 2010 to present. This information is automatically updated daily.
