ehc4-fktp	Wifi Hotspot Locations	 doitt gis geographic location map cartography services wifi wireless hot spot access telecommunication
erm2-nwe9	311 Service Requests from 2010 to Present	 311 311 service requests 2010 2011 2012 service request status all service requests clean web
drex-xx56	Subway Entrances	 jobs and economic mobility location map cartography basemap transit transportation train subway travel entrance station
jc79-4imn	Map of Parks	 park parks nature recreation location map cartography geographic healthy living
74cu-ncm4	Electric Consumption by ZIP Code - 2010	 electricity energy environment planning power utilities
zsjh-u7ve	Zip Codes Map	 geographic location map cartography zip code zip code boundary
mmu8-8w8b	MTA Data	 traffic vehicles route schedules clean web
4vkw-7nck	Restaurant Inspection Results	 restaurant inspection results restaurant inspection grades results cafe inspection violation nyc health dohmh mental hygeine department of health doh healthy living
42xp-mmeq	Basic Description of Colleges and Universities	 doitt gis geographic location map cartography education college university universities
zt9s-n5aj	SAT (College Board) 2010 School Level Results	 lifelong learning
qb3k-n8mm	Filming Locations (Scenes from the City)	 film movie scene scenes from the city
f4yq-wry5	Mapped In NY Companies	 jobs tech jobs and economic mobility
kh3d-xhq7	Queens Library Branches	 library services queens qpl hours schedule
4z75-dszx	Map of Water Fountains	 dpr parks nature recreation location map cartography water fountain park geographic healthy living
xe92-xce7	Building Footprints	 doitt gis
sw33-t3vk	2012 NYC Noise Complaints - Heat Map	 311 311 service requests 2010 2011 service request status all service requests
kku6-nxdu	Demographic Statistics By Zip Code	 boundary district community demography demographic statistic youth development zip code zip code area lifelong learning
8hkx-uppz	Quality Of Life Indicators	 life quality statistic community
r7fd-yd5e	Building Perimeter Outlines	 geographic location map cartography property building perimeter
yyiw-ypks	Parking Tickets	 department of finance finance dof money tickets fines traffic parking ticket violation violations
v9md-y9hm	311-Public Payphone Complaints	 311 311 service requests 2010 2011 2012 service request status all service requests clean web
pg99-2ihy	Map of NYC Fire Houses	 fire department fdny fd fires community board station fire station fire house emergency 911
2j99-6h29	Graffiti Locations	 sanitation scout graffiti complaint request public clean web
xsat-x5sa	Real-Time Traffic Speed Data	 vehicles car bus automobile truck clean web
9yzr-h7jq	Parking Regulations Street Segments	 parking regulation traffic sign signage location install car automobile drive driving clean web
tdsx-cvye	NYC OpenData Catalog	null	 opendata catalog catalog dcat datasets directory
styc-7sfk	Commercial Noise Complaints MANCB03	 311 311 service requests 2010 2011 service request status all service requests
g677-pns9	HPD	 311 311 service requests 2010 2011 service request status all service requests
byv3-iir3	Incidents grouped by Address and Zip	 311 311 service requests 2010 2011 service request status all service requests
dzgh-ja44	Projects in Construction Map	 school construction authority sca capital improvement project current education lifelong learning
zv3h-4wak	Atlantic Yards	 311 311 service requests 2010 2011 2012 service request status all service requests clean web
4bvt-f84g	NYC Tornado - September 16, 2010	 311 311 service requests 2010 tornado brooklyn
rsfn-6ncc	2012 Entire Tree Down Complaints - Sandy	 311 311 service requests 2010 2011 2012 service request status all service requests
h48j-6b9g	2012 - Overcharge Sandy	 311 311 service requests 2010 2011 2012 service request status all service requests
2y6k-xemp	311 Graffiti SRs	 311 311 service requests 2010 2011 2012 service request status all service requests clean web
56wi-yj58	man cb1 nypd noise	 311 311 service requests 2010 2011 service request status all service requests
kqz8-f9re	NYC Forestry Complaints	 311 311 service requests 2010 2011 2012 service request status all service requests clean web
btg5-rbma	2012 Lamppost Knocked Down - Sandy	 311 311 service requests 2010 2011 2012 service request status all service requests
n3qa-cbhw	311 Requests - 10468	 311 311 service requests 2010 2011 2012 service request status all service requests
ciy7-nvvu	Bronx Ice Cream Truck Noise Complaints (1/1/13-5/22/13)	 ice cream noise complaints bronx ice cream truck 2013
