ehc4-fktp Wifi Hotspot Locations   city name zip url phone shape objectid address type id  Media Location of wifi hotspots in the city with basic descriptive information. doitt gis geographic location map cartography services wifi wireless hot spot access telecommunication
erm2-nwe9 311 Service Requests from 2010 to Present   y_coordinate_state_plane_ school_region unique_key street_name community_board school_number borough city incident_zip agency facility_type school_state school_phone_number location latitude x_coordinate_state_plane_ address_type status school_address resolution_action_updated_date school_name school_city agency_name park_borough school_code cross_street_1 location_type cross_street_2 longitude complaint_type descriptor created_date school_zip incident_address park_facility_name  Social Services All 311 Service Requests from 2010 to present. This information is automatically updated daily. 311 311 service requests 2010 2011 2012 service request status all service requests clean web
drex-xx56 Subway Entrances   shape url line name objectid  Transportation Map of NYC Subway Entrances jobs and economic mobility location map cartography basemap transit transportation train subway travel entrance station
jc79-4imn Map of Parks   status shape_length shape_area omppropid objectid organizati gispropnum jurisdicti acres shape location signname mapped waterfront precinct borough type  Facilities and Structures GIS Map of New York City Department of Parks & Recreation parks. park parks nature recreation location map cartography geographic healthy living
74cu-ncm4 Electric Consumption by ZIP Code - 2010   building_type_service_class_ consumption_kwh_ utility_data_source consumption_gj_ zip_code  Environmental Sustainability 2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company. electricity energy environment planning power utilities
42xp-mmeq Basic Description of Colleges and Universities   city zip housenum name objectid shape streetname  Education Location of colleges and universities with basic descriptive information. doitt gis geographic location map cartography education college university universities
zt9s-n5aj SAT (College Board) 2010 School Level Results   mathematics_mean dbn number_of_test_takers school_name writing_mean critical_reading_mean  Education New York City school level College Board SAT results for the graduating seniors of 2010.  Records contain 2010 College-bound seniors mean SAT scores.   Records with 5 or fewer students are suppressed (marked ‘s’).   College-bound seniors are those students that complete the SAT Questionnaire when they register for the SAT and identify that they will graduate from high school in a specific year. For example, the 2010 college-bound seniors are those students that self-reported they would graduate in 2010. Students are not required to complete the SAT Questionnaire in order to register for the SAT. Students who do not indicate which year they will graduate from high school will not be included in any college-bound senior report.    Students are linked to schools by identifying which school they attend when registering for a College Board exam. A student is only included in a school’s report if he/she self-reports being enrolled at that school.   Data collected and processed by the College Board. lifelong learning
f4yq-wry5 Mapped In NY Companies   city url address2 hiring company_name address jobs_url category_name  Business and Economic Raw data which powers the Mapped In NY site at http://www.mappedinny.com/ jobs tech jobs and economic mobility
kh3d-xhq7 Queens Library Branches   fr mn name tu we su phone location_1 th sa  Library Queens Public Library Hours and Locations library services queens qpl hours schedule
4z75-dszx Map of Water Fountains   parknumber shape objectid  Other GIS Map of Water Fountains in New York City Department of Parks & Recreation properties. parks nature recreation location map cartography water fountain park geographic healthy living
kku6-nxdu Demographic Statistics By Zip Code   count_ethnicity_unknown percent_gender_total count_permanent_resident_alien count_black_non_hispanic percent_public_assistance_total count_receives_public_assistance count_nreceives_public_assistance percent_permanent_resident_alien count_public_assistance_unknown percent_public_assistance_unknown count_other_citizen_status percent_white_non_hispanic percent_gender_unknown count_ethnicity_total percent_pacific_islander count_gender_total count_white_non_hispanic count_citizen_status_total percent_ethnicity_total percent_black_non_hispanic percent_american_indian count_participants percent_asian_non_hispanic count_gender_unknown percent_ethnicity_unknown count_hispanic_latino percent_male count_female count_us_citizen jurisdiction_name percent_us_citizen percent_female percent_other_ethnicity count_public_assistance_total count_asian_non_hispanic count_male count_american_indian count_other_ethnicity percent_hispanic_latino percent_receives_public_assistance percent_citizen_status_unknown count_pacific_islander percent_other_citizen_status percent_citizen_status_total percent_nreceives_public_assistance count_citizen_status_unknown  Statistics Demographic statistics broken down by zip code boundary district community demography demographic statistic youth development zip code zip code area lifelong learning
