mmu8-8w8b MTA Data No_Record  Transportation Information pertaining to MTA (Metropolitan Transportation Authority of the State of New York) subways, buses, commuter rail, bridges, and tunnels traffic vehicles route schedules clean web
4vkw-7nck Restaurant Inspection Results No_Record  Health NYC restaurant inspection results restaurant inspection results restaurant inspection grades results cafe inspection violation nyc health dohmh mental hygeine department of health doh healthy living
qb3k-n8mm Filming Locations (Scenes from the City) No_Record  Business and Economic List of filming locations mentioned in the book Scenes from the City film movie scene scenes from the city
7rse-pfp9 Hurricane Evacuation Zones No_Record  Public Safety This dataset shows hurricane evacuation zones used for communicating evacuation orders to the public. These zones indicate the areas at most risk of flooding due to storm surge during a hurricane. Zone A is the most at risk, followed by zone B, and then zone C. hurricane evacuation zone emergency storm coastal storm flood flooding
xe92-xce7 Building Footprints No_Record  Facilities and Structures Footprints of New York City buildings doitt gis
yyiw-ypks Parking Tickets No_Record  Transportation A listing of all NYC parking tickets sorted by summons number, license plate, issue date, violation, fine amount, and other categories department of finance finance dof money tickets fines traffic parking ticket violation violations
xsat-x5sa Real-Time Traffic Speed Data No_Record  Transportation NYCDOT's Traffic Management Center (TMC) maintains a map of traffic speed detectors throughout the City. The speed detector themselves belong to various city and state agencies. The Traffic Speeds Map is available on the DOT's website (http://nyctmc.org/ ). This data feed contains 'real-time' traffic information from locations where NYCDOT picks up sensor feeds within the five boroughs, mostly on major arterials and highways. NYCDOT uses this information for emergency response and management. vehicles car bus automobile truck clean web
kcrm-j9hh Museums and galleries No_Record  Cultural Affairs NYC and Co. museums and galleries new york nycgo new york & company new york & co. co. museum museums gallery galleries xml data nyc the city
fum3-ejky Privately Owned Public Spaces No_Record  Property Database with detailed information about all public spaces in all boroughs that was created as a result of the City's incentive zoning program zoning database public space zone incentive private dcp privately owned public spaces
kvuc-fg9b Demographic, Social, Economic, and Housing Profiles by Community District/PUMA No_Record  Statistics Selected demographic, social, economic, and housing estimates data by community district/PUMA (Public Use Micro Data Sample Area). Three year estimates of population data from the Census Bureau's American Community Survey jobs and economic mobility dcp public use micro data sample area census demographics population
