ehc4-fktp Wifi Hotspot Locations   city name zip url phone shape objectid address type id  doitt gis geographic location map cartography services wifi wireless hot spot access telecommunication

erm2-nwe9 311 Service Requests from 2010 to Present Connection_failed  311 311 service requests 2010 2011 2012 service request status all service requests

drex-xx56 Subway Entrances   shape url line name objectid  location map cartography basemap transit transportation train subway travel entrance station

jc79-4imn Map of Parks   status shape_length shape_area omppropid objectid organizati gispropnum jurisdicti acres shape location signname mapped waterfront precinct borough type  park parks nature recreation location map cartography geographic

74cu-ncm4 Electric Consumption by ZIP Code - 2010   building_type_service_class_ consumption_kwh_ utility_data_source consumption_gj_ zip_code  electricity energy environment planning power utilities

zsjh-u7ve Zip Codes Map Connection_failed  geographic location map cartography zip code zip code boundary

mmu8-8w8b MTA Data No_Record  traffic vehicles route schedules

42xp-mmeq Basic Description of Colleges and Universities   city zip housenum name objectid shape streetname  doitt gis geographic location map cartography education college university universities

4vkw-7nck Restaurant Inspection Results No_Record  restaurant inspection results restaurant inspection grades results cafe inspection violation nyc health dohmh mental hygeine department of health doh

zt9s-n5aj SAT (College Board) 2010 School Level Results   mathematics_mean dbn number_of_test_takers school_name writing_mean critical_reading_mean 

qb3k-n8mm Filming Locations (Scenes from the City) No_Record  film movie scene scenes from the city

f4yq-wry5 Mapped In NY Companies   city url address2 hiring company_name address jobs_url category_name  jobs tech

7rse-pfp9 Hurricane Evacuation Zones No_Record  hurricane evacuation zone emergency storm coastal storm flood flooding

4z75-dszx Map of Water Fountains   parknumber shape objectid  parks nature recreation location map cartography water fountain park geographic

kh3d-xhq7 Queens Library Branches   fr mn name tu we su phone location_1 th sa  library services queens qpl hours schedule

xe92-xce7 Building Footprints No_Record  doitt gis

kku6-nxdu Demographic Statistics By Zip Code   count_ethnicity_unknown percent_gender_total count_permanent_resident_alien count_black_non_hispanic percent_public_assistance_total count_receives_public_assistance count_nreceives_public_assistance percent_permanent_resident_alien count_public_assistance_unknown percent_public_assistance_unknown count_other_citizen_status percent_white_non_hispanic percent_gender_unknown count_ethnicity_total percent_pacific_islander count_gender_total count_white_non_hispanic count_citizen_status_total percent_ethnicity_total percent_black_non_hispanic percent_american_indian count_participants percent_asian_non_hispanic count_gender_unknown percent_ethnicity_unknown count_hispanic_latino percent_male count_female count_us_citizen jurisdiction_name percent_us_citizen percent_female percent_other_ethnicity count_public_assistance_total count_asian_non_hispanic count_male count_american_indian count_other_ethnicity percent_hispanic_latino percent_receives_public_assistance percent_citizen_status_unknown count_pacific_islander percent_other_citizen_status percent_citizen_status_total percent_nreceives_public_assistance count_citizen_status_unknown  boundary district community demography demographic statistic youth development zip code zip code area

8hkx-uppz Quality Of Life Indicators   q2_09 indicator q3_09 q1_09 q4_09  life quality statistic community

r7fd-yd5e Building Perimeter Outlines Connection_failed  geographic location map cartography property building perimeter

pg99-2ihy Map of NYC Fire Houses Connection_failed  fire department fdny fd fires community board station fire station fire house emergency 911

9yzr-h7jq Parking Regulations Street Segments   boroughcode sideofstreet mainstreet statusordernumber tostreet fromstreet  parking regulation traffic sign signage location install car automobile drive driving

yyiw-ypks Parking Tickets No_Record  department of finance finance dof money tickets fines traffic parking ticket violation violations

2j99-6h29 Graffiti Locations   closed_date status community_board created_date incident_address_display borough police_precinct resolution_action  sanitation scout graffiti complaint request public

xsat-x5sa Real-Time Traffic Speed Data No_Record  vehicles car bus automobile truck

tdsx-cvye NYC OpenData Catalog   category created_at attribution name rating description custom_metadata updated_at comments properties owner system_id keywords table_id type id permissions  opendata catalog catalog dcat datasets directory

dzgh-ja44 Projects in Construction Map   consttype location_1 name geo_dist award boro projdesc buildingid  school construction authority sca capital improvement project current education

jxdc-hnze Times Square Entertainment Venues   phone sub_subindustry company_name subindustry  times square alliance times square crossroads crossroads of the world nyc new york city new york manhattan theater food screens pedestrian entertainment tourism

ewtv-wftx DSNY: Collection Tonnages   refusetonscollected communitydistrict mgptonscollected papertonscollected month borough  sanitation dsny refuse recycle recycling plastic metal paper community community district tonnage

ymhw-9cz9 NYC Health and Hospitals Corporation Facilities   phone facility_name borough location_1 facility_type  facility facilities health patient healthcare healthcare provider hospital medicare medicaid

vcc8-bbkp NYC Parking Facilities Map   entity_name license_number telephone_number facility_type address_zip_code number_of_spaces address  parking facilities car automobile

swqh-s9ee Map of Bathrooms   status bathroom shape_area objectid_1 omppropid name organizati descriptio buildingty gispropnum comments system commission shape parentorg objectid parentid comfortsta type class shape_length  map location cartography site bath bathroom wash washroom head look urinal urine relief station

7z8d-msnt School Attendance and Enrollment Statistics by District (2010-11)   ytd_enrollment_avg_ ytd_attendance_avg_ district  doe education schools attendance enrollment district absent school district

zibd-yb3i Parking Regulation Sign Locations Connection_failed  parking sign regulation car automobile traffic traffic sign travel status signage street curb

mreg-rk5p NYC Public High School Program Data   printed_school_name selection_method_abbreviated selection_method dbn interest_area program_code directory_page_ urls program_name borough  doe programs nyc data

kcrm-j9hh Museums and galleries No_Record  new york nycgo new york & company new york & co. co. museum museums gallery galleries xml data nyc the city

